"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"J83","BRESS_FFKDSA/V2-7,62_P1.3","8712.795mil","-93.701mil","8575mil","-300mil","8712.795mil","-243.701mil","T","0.00","BRESS_CI_D_7.62_01_FFKDSA/V2"
"J80","BRESS_FFKDS/V2-5,08_P1.3","8512.795mil","-93.701mil","8375mil","-300mil","8512.795mil","-243.701mil","T","0.00","BRESS_CI_D_5.08_01_FFKDS/V2"
"J78","BRESS_FFKDS/V2-5,08_P1.3","8312.795mil","-93.701mil","8175mil","-300mil","8312.795mil","-243.701mil","T","0.00","BRESS_CI_D_5.08_01_FFKDS/V2"
"J75","BRESS_FFKDS/V2-5,08_P1.3","8112.795mil","-93.701mil","7975mil","-300mil","8112.795mil","-243.701mil","T","0.00","BRESS_CI_D_5.08_01_FFKDS/V2"
"J73","BRESS_FFKDS/V2-5,08_P1.3","7912.795mil","-93.701mil","7775mil","-300mil","7912.795mil","-243.701mil","T","0.00","BRESS_CI_D_5.08_01_FFKDS/V2"
"J70","BRESS_FFKDS/V2-5,08_P1.3","7712.795mil","-93.701mil","7575mil","-300mil","7712.795mil","-243.701mil","T","0.00","BRESS_CI_D_5.08_01_FFKDS/V2"
"J68","BRESS_FFKDS/V2-5,08_P1.3","7512.795mil","-93.701mil","7375mil","-300mil","7512.795mil","-243.701mil","T","0.00","BRESS_CI_D_5.08_01_FFKDS/V2"
"J65","BRESS_FFKDS/V2-5,08_P1.3","7312.795mil","-93.701mil","7175mil","-300mil","7312.795mil","-243.701mil","T","0.00","BRESS_CI_D_5.08_01_FFKDS/V2"
"J63","BRESS_FFKDS/V2-5,08_P1.3","7112.795mil","-93.701mil","6975mil","-300mil","7112.795mil","-243.701mil","T","0.00","BRESS_CI_D_5.08_01_FFKDS/V2"
"J60","BRESS_FFKDS/V2-5,08_P1.3","6912.795mil","-93.701mil","6775mil","-300mil","6912.795mil","-243.701mil","T","0.00","BRESS_CI_D_5.08_01_FFKDS/V2"
"J58","BRESS_FFKDS/V2-5,08_P1.3","6712.795mil","-93.701mil","6575mil","-300mil","6712.795mil","-243.701mil","T","0.00","BRESS_CI_D_5.08_01_FFKDS/V2"
"J55","BRESS_FFKDS/V2-5,08_P1.3","6512.795mil","-93.701mil","6375mil","-300mil","6512.795mil","-243.701mil","T","0.00","BRESS_CI_D_5.08_01_FFKDS/V2"
"J53","BRESS_FFKDS/V2-5,08_P1.3","6312.795mil","-93.701mil","6175mil","-300mil","6312.795mil","-243.701mil","T","0.00","BRESS_CI_D_5.08_01_FFKDS/V2"
"J50","BRESS_FFKDS/V2-5,08_P1.3","6112.795mil","-93.701mil","5975mil","-300mil","6112.795mil","-243.701mil","T","0.00","BRESS_CI_D_5.08_01_FFKDS/V2"
